,Nombre,Tipo,Website
0,Bolacuá all inclusive,Alojamientos – Hoteles/Hosterías,http://www.posadadelbolacua.com.ar/
1,Posada Del Puerto Hotel&Spa,Alojamientos – Hoteles/Hosterías,http://www.posadadelpuerto.com.ar/
2,Guayrá Hotel&Spa,Alojamientos – Hoteles/Hosterías,http://www.hotelguayra.com.ar/
3,Aguaý,Alojamientos – Hoteles/Hosterías,http://www.hotelaguay.com.ar/
4,Los Ángeles,Alojamientos – Hoteles/Hosterías,http://www.hotellosangeles.com.ar/
5,Atamá,Alojamientos – Hoteles/Hosterías,https://facebook.com/HotelAtama/
6,O2 Gualeguaychu,Alojamientos – Hoteles/Hosterías,https://www.instagram.com/hotelo2gualeguaychu/ 
7,Berlín,Alojamientos – Hoteles/Hosterías,http://www.hotelberlin.com.ar/
8,El Tague,Alojamientos – Hoteles/Hosterías,http://www.hoteltague.com.ar/
9,La Posada Del Charrúa,Alojamientos – Hoteles/Hosterías,https://www.gualeguaychu.tur.ar/wp-content/uploads/2022/05/PosadadelCharrua-scaled.jpeg
10,Yaro,Alojamientos – Hoteles/Hosterías,https://www.facebook.com/yaro.hotel
11,Tykuá,Alojamientos – Hoteles/Hosterías,https://www.facebook.com/Hotel-yku%C3%A1-702268636538012
12,Praga,Alojamientos – Hoteles/Hosterías,https://www.facebook.com/Hotel-Praga-627320567419394
13,Leonardi,Alojamientos – Hoteles/Hosterías,https://www.facebook.com/hotelleonardi
14,Abadía,Alojamientos – Hoteles/Hosterías,https://www.facebook.com/hotelabadia
15,Alemán,Alojamientos – Hoteles/Hosterías,https://www.facebook.com/Hotel-Alem%C3%A1n-Gualeguaych%C3%BA-195600664292710
16,Amalfi,Alojamientos – Hoteles/Hosterías,https://www.gualeguaychu.tur.ar/wp-content/uploads/2022/05/Amalfi001.jpg
17,Aré Porá,Alojamientos – Hoteles/Hosterías,https://www.facebook.com/Are-Pora-316621821798838/
18,Los Robles,Alojamientos – Hoteles/Hosterías,https://www.turismoentrerios.com/losrobles/
19,Posada Ribera Del Gualeguaychú,Alojamientos – Hoteles/Hosterías,http://www.posadaribera.com.ar/
20,Macaripana,Alojamientos – Hoteles/Hosterías,https://www.paginasamarillas.com.ar/fichas/apart-hotel-makaripana_16996590/
21,Urquiza,Alojamientos – Hoteles/Hosterías,https://aparthotelurquiza.wixsite.com/gualeguaychu
22,La Pradera,Alojamientos – Hoteles/Hosterías,https://www.facebook.com/LaPraderaHosteria 
23,Matevale,Alojamientos – Hoteles/Hosterías,https://www.facebook.com/matevale.hosteria 
24,Alquimia,Alojamientos – Hoteles/Hosterías,https://alquimiaposada.com.ar/contacto/ 
25,Las Casuarinas,Alojamientos – Hoteles/Hosterías,https://www.facebook.com/CasuarinasGualeguaychu 
26,La Casona,Alojamientos – Hoteles/Hosterías,http://www.lacasonahospedaje.com/?fbclid=IwAR3BKj8tdnqDLBvuTIesQRXEmdsI_5emWkeTIahzUnhXcSrzZbqGNvLMKik 
27,Papaya,Alojamientos – Hoteles/Hosterías,https://www.facebook.com/Hosteria-papaya-1523646374586368
28,Club De Pescadores,Alojamientos – Hoteles/Hosterías,https://www.clubpescadoresgchu.com.ar/web/ 
29,La Península,Alojamientos – Hoteles/Hosterías,https://hospedaje-lapeninsula.negocio.site/?fbclid=IwAR2XuX6eQfl3RuplFn2vb4hLWkRbTHdh6N6g_8AHaMvIJk_MHhGaYusIcsQ
30,Altos De La Costa,Zona Camino de la Costa,https://www.instagram.com/altosdelacostagchu/ 
31,Placeres De La Costa,Zona Camino de la Costa,https://www.facebook.com/Placeres-de-la-Costa-171869462907628
32,Puerto Sosiego,Zona Camino de la Costa,http://www.puerto-sosiego.com.ar/ 
33,El Parque,Zona Camino de la Costa,https://www.facebook.com/Caba%C3%B1as-el-parque-1520864388223245
